Day,Time,Room Number
We,12:30 PM-01:50 PM,UB20802
Sa,03:30 PM-04:50 PM,UB20801
Th,03:30 PM-04:50 PM,UB20801
Su,11:00 AM-12:20 PM,UB20804
Tu,11:00 AM-12:20 PM,UB20804
Su,08:00 AM-09:20 AM,UB20702
Tu,08:00 AM-09:20 AM,UB20702
Su,09:30 AM-10:50 AM,UB20701
Tu,09:30 AM-10:50 AM,UB20701
Mo,11:00 AM-12:20 PM,UB20802
We,11:00 AM-12:20 PM,UB20802
Sa,12:30 PM-01:50 PM,UB20802
Th,12:30 PM-01:50 PM,UB20802
Sa,02:00 PM-03:20 PM,UB20501
Th,02:00 PM-03:20 PM,UB20501
Sa,02:00 PM-03:20 PM,UB20701
Th,02:00 PM-03:20 PM,UB20701
Sa,03:30 PM-04:50 PM,UB20803
Th,03:30 PM-04:50 PM,UB20803
Mo,02:00 PM-03:20 PM,UB20804
We,02:00 PM-03:20 PM,UB20804
Sa,12:30 PM-01:50 PM,UB20702
Th,12:30 PM-01:50 PM,UB20702
Mo,11:00 AM-12:20 PM,UB20702
We,11:00 AM-12:20 PM,UB20702
Su,02:00 PM-03:20 PM,UB20804
Tu,02:00 PM-03:20 PM,UB20804
Mo,03:30 PM-04:50 PM,UB20804
We,03:30 PM-04:50 PM,UB20804
Su,11:00 AM-12:20 PM,UB20701
Tu,11:00 AM-12:20 PM,UB20701
Su,09:30 AM-10:50 AM,UB20802
Tu,09:30 AM-10:50 AM,UB20802
Su,12:30 PM-01:50 PM,UB20802
Tu,12:30 PM-01:50 PM,UB20802
Su,08:00 AM-09:20 AM,UB20802
Tu,08:00 AM-09:20 AM,UB20802
Sa,02:00 PM-03:20 PM,UB20702
Th,02:00 PM-03:20 PM,UB20702
Mo,09:30 AM-10:50 AM,UB20802
We,09:30 AM-10:50 AM,UB20802
Su,05:00 PM-06:20 PM,UB20803
Tu,05:00 PM-06:20 PM,UB20803
Mo,08:00 AM-09:20 AM,UB20802
We,08:00 AM-09:20 AM,UB20802
Su,12:30 PM-01:50 PM,UB20801
Tu,12:30 PM-01:50 PM,UB20801
Su,02:00 PM-03:20 PM,UB20801
Tu,02:00 PM-03:20 PM,UB20801
Su,11:00 AM-12:20 PM,UB20802
Tu,11:00 AM-12:20 PM,UB20802
Sa,09:30 AM-10:50 AM,UB20804
Th,09:30 AM-10:50 AM,UB20804
Sa,09:30 AM-10:50 AM,UB20203
Th,09:30 AM-10:50 AM,UB20203
Sa,03:30 PM-04:50 PM,UB20203
Th,03:30 PM-04:50 PM,UB20203
Sa,02:00 PM-03:20 PM,UB20802
Th,02:00 PM-03:20 PM,UB20802
Su,08:00 AM-09:20 AM,UB20801
Tu,08:00 AM-09:20 AM,UB20801
Sa,08:00 AM-09:20 AM,UB20802
Th,08:00 AM-09:20 AM,UB20802
Mo,08:00 AM-09:20 AM,UB20203
We,08:00 AM-09:20 AM,UB20203
Sa,02:00 PM-03:20 PM,UB20803
Th,02:00 PM-03:20 PM,UB20803
Su,12:30 PM-01:50 PM,UB21913
Tu,12:30 PM-01:50 PM,UB21913
Su,12:30 PM-01:50 PM,UB21913
Tu,12:30 PM-01:50 PM,UB21913
Su,08:00 AM-09:20 AM,UB20803
Tu,08:00 AM-09:20 AM,UB20803
Su,09:30 AM-10:50 AM,UB20801
Tu,09:30 AM-10:50 AM,UB20801
Mo,03:30 PM-04:50 PM,UB20702
We,03:30 PM-04:50 PM,UB20702
Mo,02:00 PM-03:20 PM,UB20702
We,02:00 PM-03:20 PM,UB20702
Su,05:00 PM-06:20 PM,UB20501
Tu,05:00 PM-06:20 PM,UB20501
Su,11:00 AM-12:20 PM,UB20801
Tu,11:00 AM-12:20 PM,UB20801
Mo,05:00 PM-06:20 PM,UB20701
We,05:00 PM-06:20 PM,UB20701
Sa,11:00 AM-12:20 PM,UB20501
Th,11:00 AM-12:20 PM,UB20501
Sa,03:30 PM-04:50 PM,UB20702
Th,03:30 PM-04:50 PM,UB20702
Sa,12:30 PM-01:50 PM,UB20803
Th,12:30 PM-01:50 PM,UB20803
Su,03:30 PM-04:50 PM,UB20803
Tu,03:30 PM-04:50 PM,UB20803
Su,02:00 PM-03:20 PM,UB20803
Tu,02:00 PM-03:20 PM,UB20803
Sa,10:05 AM-11:00 AM,UB100203
We,10:05 AM-11:00 AM,UB100204
Sa,09:00 AM-09:55 AM,UB100202
We,09:00 AM-09:55 AM,UB100203
Mo,09:00 AM-09:55 AM,UB100203
We,09:00 AM-09:55 AM,UB100401
Sa,10:05 AM-11:00 AM,UB100204
We,10:05 AM-11:00 AM,UB100401
Mo,10:05 AM-11:00 AM,UB100203
We,10:05 AM-11:00 AM,UB100203
Mo,11:10 AM-12:05 PM,UB100203
